a (a) (Article)
depend (depend,depends,depended,depending) (Verb)
depress (depress,depresses,depressed,depressing) (Verb)
depth (depth,depths,depth's,depths') (Noun)
descend (descend,descends,descended,descending) (Verb)
describe (describe,describes,described,describing) (Verb)
description (description,descriptions,description's,descriptions') (Noun)
desert (desert,deserts,deserted,deserting) (Verb)
desert (desert) (Adjective)
desert (desert,deserts,desert's,deserts') (Noun)
deserve (deserve,deserves,deserved,deserving) (Verb)
design (design,designs,designed,designing) (Verb)
design (design,designs,design's,designs') (Noun)
desire (desire,desires,desired,desiring) (Verb)
desire (desire,desires,desire's,desires') (Noun)
desk (desk,desks,desk's,desks') (Noun)
despair (despair,despairs,despaired,despairing) (Verb)
despair (despair,despairs,despair's,despairs') (Noun)
desperate (desperate) (Adjective)
despite (despite) (Preposition)
despite (despite,despites,despite's,despites') (Noun)
destroy (destroy,destroys,destroyed,destroying) (Verb)
detail (detail,details,detailed,detailing) (Verb)
detail (detail,details,detail's,details') (Noun)
detect (detect,detects,detected,detecting) (Verb)
determine (determine,determines,determined,determining) (Verb)
develop (develop,develops,developed,developing) (Verb)
device (device,devices,device's,devices') (Noun)
devil (devil,devils,devilled,deviled,devilling,deviling) (Verb)
devil (devil,devils,devil's,devils') (Noun)
devote (devote,devotes,devoted,devoting) (Verb)
diary (diary,diaries,diary's,diaries') (Noun)
Dick (Dick,Dick's) (Noun)
die (die,dies,died,dying) (Verb)
die (die,dies,die's,dies') (Noun)
die (die,dice,die's,dice's) (Noun)
difference (difference,differences,difference's,differences') (Noun)
different (different) (Adjective)
difficult (difficult) (Adjective)
difficulty (difficulty,difficulties,difficulty's,difficulties') (Noun)
dig (dig,digs,dug,digging) (Verb)
dig (dig,digs,dig's,digs') (Noun)
dignity (dignity,dignities,dignity's,dignities') (Noun)
dim (dim,dims,dimmed,dimming) (Verb)
dim (dim,dimmer,dimmest) (Adjective)
dim (dim,dims,dim's,dims') (Noun)
dimension (dimension,dimensions,dimensioned,dimensioning) (Verb)
dimension (dimension,dimensions,dimension's,dimensions') (Noun)
din (din,dins,dinned,dinning) (Verb)
din (din,dins,din's,dins') (Noun)
dinner (dinner,dinners,dinner's,dinners') (Noun)
dip (dip,dips,dipped,dipping) (Verb)
dip (dip,dips,dip's,dips') (Noun)
direct (direct,directs,directed,directing) (Verb)
direct (direct) (Adverb)
direct (direct) (Adjective)
direction (direction,directions,direction's,directions') (Noun)
dirty (dirty,dirties,dirtied,dirtying) (Verb)
dirty (dirty,dirtier,dirtiest) (Adjective)
disappear (disappear,disappears,disappeared,disappearing) (Verb)
disappoint (disappoint,disappoints,disappointed,disappointing) (Verb)
disappointment (disappointment,disappointments,disappointment's,disappointments') (Noun)
discover (discover,discovers,discovered,discovering) (Verb)
discovery (discovery,discoveries,discovery's,discoveries') (Noun)
discuss (discuss,discusses,discussed,discussing) (Verb)
discussion (discussion,discussions,discussion's,discussions') (Noun)
disease (disease,diseases,disease's,diseases') (Noun)
disguise (disguise,disguises,disguised,disguising) (Verb)
disguise (disguise,disguises,disguise's,disguises') (Noun)
disgust (disgust,disgusts,disgusted,disgusting) (Verb)
disgust (disgust,disgust's) (Noun)
dish (dish,dishes,dished,dishing) (Verb)
dish (dish,dishes,dish's,dishes') (Noun)
dislike (dislike,dislikes,disliked,disliking) (Verb)
dislike (dislike,dislikes,dislike's,dislikes') (Noun)
dismal (dismal) (Adjective)
dismiss (dismiss,dismisses,dismissed,dismissing) (Verb)
display (display,displays,displayed,displaying) (Verb)
display (display,displays,display's,displays') (Noun)
dispose (dispose,disposes,disposed,disposing) (Verb)
distance (distance,distances,distanced,distancing) (Verb)
distance (distance,distances,distance's,distances') (Noun)
distant (distant) (Adjective)
distinct (distinct,distincter,distinctest) (Adjective)
distinguish (distinguish,distinguishes,distinguished,distinguishing) (Verb)
distract (distract,distracts,distracted,distracting) (Verb)
distress (distress,distresses,distressed,distressing) (Verb)
distress (distress) (Adjective)
distress (distress,distress's) (Noun)
disturb (disturb,disturbs,disturbed,disturbing) (Verb)
divide (divide,divides,divided,dividing) (Verb)
divide (divide,divides,divide's,divides') (Noun)
dizzy (dizzy,dizzies,dizzied,dizzying) (Verb)
dizzy (dizzy,dizzier,dizziest) (Adjective)
do (do,does,did,done,doing) (Verb)
doctor (doctor,doctors,doctored,doctoring) (Verb)
doctor (doctor,doctors,doctor's,doctors') (Noun)
dog (dog,dogs,dogged,dogging) (Verb)
dog (dog) (Adverb)
dog (dog,dogs,dog's,dogs') (Noun)
dollar (dollar,dollars,dollar's,dollars') (Noun)
don (don,dons,donned,donning) (Verb)
don (don,dons,don's,dons') (Noun)
don (don,don's) (Noun)
doom (doom,dooms,doomed,dooming) (Verb)
doom (doom,dooms,doom's,dooms') (Noun)
door (door,doors,door's,doors') (Noun)
doorway (doorway,doorways,doorway's,doorways') (Noun)
dormitory (dormitory,dormitories,dormitory's,dormitories') (Noun)
dot (dot,dots,dotted,dotting) (Verb)
dot (dot,dots,dot's,dots') (Noun)
double (double,doubles,doubled,doubling) (Verb)
double (double) (Adverb)
double (double) (Adjective)
double (double,doubles,double's,doubles') (Noun)
doubt (doubt,doubts,doubted,doubting) (Verb)
doubt (doubt,doubts,doubt's,doubts') (Noun)
doubtful (doubtful) (Adjective)
down (down,downs,downed,downing) (Verb)
down (down) (Preposition)
down (down) (Adverb)
down (down) (Adjective)
down (down,downs,down's,downs') (Noun)
downstairs (downstairs) (Adverb)
downstairs (downstairs) (Adjective)
downward (downward) (Adverb)
downward (downward) (Adjective)
doze (doze,dozes,dozed,dozing) (Verb)
doze (doze,dozes,doze's,dozes') (Noun)
dozen (dozen,dozens,dozen's,dozens') (Noun)
drag (drag,drags,dragged,dragging) (Verb)
drag (drag,drags,drag's,drags') (Noun)
dragon (dragon,dragons,dragon's,dragons') (Noun)
drain (drain,drains,drained,draining) (Verb)
drain (drain,drains,drain's,drains') (Noun)
draught (draught) (Adjective)
draught (draught,draughts,draught's,draughts') (Noun)
draw (draw,draws,drew,drawn,drawing) (Verb)
draw (draw,draws,draw's,draws') (Noun)
drawer (drawer,drawers,drawer's,drawers') (Noun)
dread (dread,dreads,dreaded,dreading) (Verb)
dread (dread) (Adjective)
dread (dread,dreads,dread's,dreads') (Noun)
dreadful (dreadful) (Adjective)
dream (dream,dreams,dreamed,dreamt,dreaming) (Verb)
dream (dream,dreams,dream's,dreams') (Noun)
dress (dress,dresses,dressed,dressing) (Verb)
dress (dress) (Adjective)
dress (dress,dresses,dress's,dresses') (Noun)
drift (drift,drifts,drifted,drifting) (Verb)
drift (drift,drifts,drift's,drifts') (Noun)
drink (drink,drinks,drank,drunk,drinking) (Verb)
drink (drink,drinks,drink's,drinks') (Noun)
drip (drip,drips,dripped,dripping) (Verb)
drip (drip,drips,drip's,drips') (Noun)
drive (drive,drives,drove,driven,driving) (Verb)
drive (drive) (Adjective)
drive (drive,drives,drive's,drives') (Noun)
driver (driver,drivers,driver's,drivers') (Noun)
droop (droop,droops,drooped,drooping) (Verb)
droop (droop,droops,droop's,droops') (Noun)
drop (drop,drops,dropped,dropping) (Verb)
drop (drop,drops,drop's,drops') (Noun)
drown (drown,drowns,drowned,drowning) (Verb)
drug (drug,drugs,drugged,drugging) (Verb)
drug (drug,drugs,drug's,drugs') (Noun)
drum (drum,drums,drummed,drumming) (Verb)
drum (drum,drums,drum's,drums') (Noun)
dry (dry,dries,dried,drying) (Verb)
dry (dry,drier,driest) (Adjective)
Dublin (Dublin,Dublin's) (Noun)
duchess (duchess,duchesses,duchess's,duchesses') (Noun)
duck (duck,ducks,ducked,ducking) (Verb)
duck (duck,ducks,duck's,ducks') (Noun)
due (due) (Adverb)
due (due) (Adjective)
due (due,dues,due's,dues') (Noun)
duke (duke,dukes,duke's,dukes') (Noun)
dull (dull,dulls,dulled,dulling) (Verb)
dull (dull,duller,dullest) (Adjective)
dungeon (dungeon,dungeons,dungeon's,dungeons') (Noun)
during (during) (Preposition)
dusk (dusk) (Adjective)
dusk (dusk,dusks,dusk's,dusks') (Noun)
dust (dust,dusts,dusted,dusting) (Verb)
dust (dust,dusts,dust's,dusts') (Noun)
dusty (dusty,dustier,dustiest) (Adjective)
duty (duty,duties,duty's,duties') (Noun)
dwarf (dwarf,dwarfs,dwarfed,dwarfing) (Verb)
dwarf (dwarf) (Adjective)
dwarf (dwarf,dwarves,dwarfs,dwarf's,dwarves',dwarfs') (Noun)
dwell (dwell,dwells,dwelt,dwelled,dwelling) (Verb)
dye (dye,dyes,dyed,dyeing) (Verb)
dye (dye,dyes,dye's,dyes') (Noun)
each (each) (QuantitativePronoun)
each (each) (Adverb)
each (each) (Adjective)
eager (eager) (Adjective)
eagle (eagle,eagles,eagle's,eagles') (Noun)
ear (ear,ears,ear's,ears') (Noun)
earn (earn,earns,earned,earning) (Verb)
earnest (earnest) (Adjective)
earth (earth,earths,earth's,earths') (Noun)
ease (ease,eases,eased,easing) (Verb)
ease (ease,eases,ease's,eases') (Noun)
east (east) (Adverb)
east (east) (Adjective)
east (east,easts,east's,easts') (Noun)
eastern (eastern) (Adjective)
eastward (eastward) (Adverb)
easy (easy,easier,easiest) (Adverb)
easy (easy,easier,easiest) (Adjective)
eat (eat,eats,ate,eaten,eating) (Verb)
eater (eater,eaters,eater's,eaters') (Noun)
echo (echo,echoes,echoed,echoing) (Verb)
echo (echo,echoes,echo's,echoes') (Noun)
edge (edge,edges,edged,edging) (Verb)
edge (edge,edges,edge's,edges') (Noun)
Edward (Edward,Edward's) (Noun)
effect (effect,effects,effected,effecting) (Verb)
effect (effect,effects,effect's,effects') (Noun)
effort (effort,efforts,effort's,efforts') (Noun)
egg (egg,eggs,egged,egging) (Verb)
egg (egg,eggs,egg's,eggs') (Noun)
eight (eight) (Adjective)
eight (eight,eights,eight's,eights') (Noun)
either (either) (Conjunction)
either (either) (QuantitativePronoun)
either (either) (Adverb)
either (either) (Adjective)
elbow (elbow,elbows,elbowed,elbowing) (Verb)
elbow (elbow,elbows,elbow's,elbows') (Noun)
old (old,elder,eldest) (Adjective)
elder (elder,elders,elder's,elders') (Noun)
electric (electric) (Adjective)
electric (electric,electrics,electric's,electrics') (Noun)
element (element,elements,element's,elements') (Noun)
eleven (eleven) (Adjective)
eleven (eleven,elevens,eleven's,elevens') (Noun)
elf (elf,elves,elf's,elves') (Noun)
Elizabeth (Elizabeth,Elizabeth's) (Noun)
else (else) (Adverb)
else (else) (Adjective)
elsewhere (elsewhere) (Adverb)
embarrass (embarrass,embarrasses,embarrassed,embarrassing) (Verb)
embrace (embrace,embraces,embraced,embracing) (Verb)
embrace (embrace,embraces,embrace's,embraces') (Noun)
emerge (emerge,emerges,emerged,emerging) (Verb)
emotion (emotion,emotions,emotion's,emotions') (Noun)
employ (employ,employs,employed,employing) (Verb)
employ (employ,employs,employ's,employs') (Noun)
empty (empty,empties,emptied,emptying) (Verb)
empty (empty,emptier,emptiest) (Adverb)
empty (empty,emptier,emptiest) (Adjective)
empty (empty,empties,empty's,empties') (Noun)
encounter (encounter,encounters,encountered,encountering) (Verb)
encounter (encounter,encounters,encounter's,encounters') (Noun)
encourage (encourage,encourages,encouraged,encouraging) (Verb)
end (end,ends,ended,ending) (Verb)
end (end,ends,end's,ends') (Noun)
endless (endless) (Adjective)
endure (endure,endures,endured,enduring) (Verb)
enemy (enemy,enemies,enemy's,enemies') (Noun)
energy (energy,energies,energy's,energies') (Noun)
engage (engage,engages,engaged,engaging) (Verb)
engine (engine,engines,engine's,engines') (Noun)
England (England,England's) (Noun)
English (English) (Adjective)
English (English,English's) (Noun)
English (English,English's) (Noun)
enjoy (enjoy,enjoys,enjoyed,enjoying) (Verb)
enormous (enormous) (Adjective)
enough (enough) (QuantitativePronoun)
enough (enough) (Adverb)
enough (enough) (Adjective)
enter (enter,enters,entered,entering) (Verb)
entertain (entertain,entertains,entertained,entertaining) (Verb)
entire (entire) (Adverb)
entire (entire) (Adjective)
entity (entity,entities,entity's,entities') (Noun)
entrance (entrance,entrances,entranced,entrancing) (Verb)
entrance (entrance,entrances,entrance's,entrances') (Noun)
envelope (envelope,envelopes,envelope's,envelopes') (Noun)
equal (equal,equals,equalled,equaled,equalling,equaling) (Verb)
equal (equal) (Adjective)
equal (equal,equals,equal's,equals') (Noun)
equipment (equipment,equipment's) (Noun)
ere (ere) (Conjunction)
ere (ere) (Preposition)
Ernest (Ernest,Ernest's) (Noun)
errand (errand,errands,errand's,errands') (Noun)
escape (escape,escapes,escaped,escaping) (Verb)
escape (escape) (Adjective)
escape (escape,escapes,escape's,escapes') (Noun)
especial (especial) (Adjective)
establish (establish,establishes,established,establishing) (Verb)
estate (estate,estates,estate's,estates') (Noun)
even (even,evens,evened,evening) (Verb)
even (even) (Adverb)
even (even) (Adjective)
event (event,events,event's,events') (Noun)
eventual (eventual) (Adjective)
ever (ever) (Adverb)
every (every) (Adjective)
everybody (everybody,everybody's) (PronounIndefinite)
everyone (everyone,everyone's) (PronounIndefinite)
everything (everything) (Pronoun)
everywhere (everywhere) (Adverb)
evidence (evidence,evidences,evidenced,evidencing) (Verb)
evidence (evidence,evidence's) (Noun)
evident (evident) (Adjective)
evil (evil,eviler,evilest) (Adjective)
evil (evil,evils,evil's,evils') (Noun)
exact (exact,exacts,exacted,exacting) (Verb)
exact (exact) (Adjective)
examine (examine,examines,examined,examining) (Verb)
example (example,examples,exampled,exampling) (Verb)
example (example,examples,example's,examples') (Noun)
exceed (exceed,exceeds,exceeded,exceeding) (Verb)
exceeding (exceeding) (Adjective)
excellent (excellent) (Adjective)
except (except,excepts,excepted,excepting) (Verb)
except (except) (Conjunction)
except (except) (Preposition)
exchange (exchange,exchanges,exchanged,exchanging) (Verb)
exchange (exchange,exchanges,exchange's,exchanges') (Noun)
excite (excite,excites,excited,exciting) (Verb)
excitement (excitement,excitements,excitement's,excitements') (Noun)
exclaim (exclaim,exclaims,exclaimed,exclaiming) (Verb)
excuse (excuse,excuses,excused,excusing) (Verb)
excuse (excuse,excuses,excuse's,excuses') (Noun)
exercise (exercise,exercises,exercised,exercising) (Verb)
exercise (exercise,exercises,exercise's,exercises') (Noun)
exhaust (exhaust,exhausts,exhausted,exhausting) (Verb)
exhaust (exhaust,exhausts,exhaust's,exhausts') (Noun)
exist (exist,exists,existed,existing) (Verb)
existence (existence,existences,existence's,existences') (Noun)
expect (expect,expects,expected,expecting) (Verb)
expedition (expedition,expeditions,expedition's,expeditions') (Noun)
expensive (expensive) (Adjective)
experience (experience,experiences,experienced,experiencing) (Verb)
experience (experience,experiences,experience's,experiences') (Noun)
experiment (experiment,experiments,experimented,experimenting) (Verb)
experiment (experiment,experiments,experiment's,experiments') (Noun)
explain (explain,explains,explained,explaining) (Verb)
explanation (explanation,explanations,explanation's,explanations') (Noun)
explode (explode,explodes,exploded,exploding) (Verb)
explore (explore,explores,explored,exploring) (Verb)
explosion (explosion,explosions,explosion's,explosions') (Noun)
expose (expose,exposes,exposed,exposing) (Verb)
expose (expose,exposes,expose's,exposes') (Noun)
express (express,expresses,expressed,expressing) (Verb)
express (express) (Adverb)
express (express) (Adjective)
express (express,expresses,express's,expresses') (Noun)
expression (expression,expressions,expression's,expressions') (Noun)
extend (extend,extends,extended,extending) (Verb)
extent (extent,extents,extent's,extents') (Noun)
extra (extra) (Adverb)
extra (extra) (Adjective)
extra (extra,extras,extra's,extras') (Noun)
extraordinary (extraordinary) (Adjective)
extreme (extreme) (Adjective)
extreme (extreme,extremes,extreme's,extremes') (Noun)
eye (eye,eyes,eyed,eyeing,eying) (Verb)
eye (eye,eyes,eye's,eyes') (Noun)
eyebrow (eyebrow,eyebrows,eyebrow's,eyebrows') (Noun)
face (face,faces,faced,facing) (Verb)
face (face,faces,face's,faces') (Noun)
fact (fact,facts,fact's,facts') (Noun)
fad (fad,fads,fad's,fads') (Noun)
fail (fail,fails,failed,failing) (Verb)
fail (fail,fails,fail's,fails') (Noun)
faint (faint,faints,fainted,fainting) (Verb)
faint (faint,fainter,faintest) (Adjective)
faint (faint,faints,faint's,faints') (Noun)
fair (fair,fairs,faired,fairing) (Verb)
fair (fair,fairer,fairest) (Adverb)
fair (fair,fairer,fairest) (Adjective)
fair (fair,fairs,fair's,fairs') (Noun)
faith (faith,faiths,faith's,faiths') (Noun)
faithful (faithful) (Adjective)
fall (fall,falls,fell,fallen,falling) (Verb)
fall (fall) (Adjective)
fall (fall,falls,fall's,falls') (Noun)
false (false,falser,falsest) (Adverb)
false (false,falser,falsest) (Adjective)
familiar (familiar) (Adjective)
familiar (familiar,familiars,familiar's,familiars') (Noun)
family (family) (Adjective)
family (family,families,family's,families') (Noun)
famous (famous) (Adjective)
fan (fan,fans,fanned,fanning) (Verb)
fan (fan,fans,fan's,fans') (Noun)
fancy (fancy,fancies,fancied,fancying) (Verb)
fancy (fancy,fancier,fanciest) (Adjective)
fancy (fancy,fancies,fancy's,fancies') (Noun)
fang (fang,fangs,fang's,fangs') (Noun)
fantastic (fantastic) (Adjective)
far (far,farther,further,farthest,furthest) (Adverb)
far (far,farther,farthest) (Adjective)
far (far,further,furthest,furthermost) (Adjective)
farewell (farewell) (Adjective)
farewell (farewell,farewells,farewell's,farewells') (Noun)
farm (farm,farms,farmed,farming) (Verb)
farm (farm,farms,farm's,farms') (Noun)
farmer (farmer,farmers,farmer's,farmers') (Noun)
fascinate (fascinate,fascinates,fascinated,fascinating) (Verb)
fashion (fashion,fashions,fashioned,fashioning) (Verb)
fashion (fashion,fashions,fashion's,fashions') (Noun)
fast (fast,fasts,fasted,fasting) (Verb)
fast (fast,faster,fastest) (Adverb)
fast (fast,faster,fastest) (Adjective)
fast (fast,fasts,fast's,fasts') (Noun)
fasten (fasten,fastens,fastened,fastening) (Verb)
fat (fat,fatter,fattest) (Adjective)
fat (fat,fats,fat's,fats') (Noun)
fate (fate,fates,fated,fating) (Verb)
fate (fate,fates,fate's,fates') (Noun)
father (father,fathers,fathered,fathering) (Verb)
father (father,fathers,father's,fathers') (Noun)
fault (fault,faults,faulted,faulting) (Verb)
fault (fault,faults,fault's,faults') (Noun)
favour (favour,favours,favoured,favouring) (Verb)
favour (favour,favours,favour's,favours') (Noun)
favourite (favourite) (Adjective)
favourite (favourite,favourites,favourite's,favourites') (Noun)
fear (fear,fears,feared,fearing) (Verb)
fear (fear,fears,fear's,fears') (Noun)
fearful (fearful) (Adjective)
feast (feast,feasts,feasted,feasting) (Verb)
feast (feast,feasts,feast's,feasts') (Noun)
feather (feather,feathers,feathered,feathering) (Verb)
feather (feather,feathers,feather's,feathers') (Noun)
feature (feature,features,featured,featuring) (Verb)
feature (feature,features,feature's,features') (Noun)
feeble (feeble,feebler,feeblest) (Adjective)
feel (feel,feels,felt,feeling) (Verb)
feel (feel,feels,feel's,feels') (Noun)
feeling (feeling) (Adjective)
feeling (feeling,feelings,feeling's,feelings') (Noun)
fellow (fellow) (Adjective)
fellow (fellow,fellows,fellow's,fellows') (Noun)
female (female) (Adjective)
female (female,females,female's,females') (Noun)
fence (fence,fences,fenced,fencing) (Verb)
fence (fence,fences,fence's,fences') (Noun)
fetch (fetch,fetches,fetched,fetching) (Verb)
fever (fever,fevers,fever's,fevers') (Noun)
few (few,fewer,fewest) (QuantitativePronoun)
few (few,fewer,fewest) (Adjective)
field (field,fields,fielded,fielding) (Verb)
field (field) (Adjective)
field (field,fields,field's,fields') (Noun)
fierce (fierce,fiercer,fiercest) (Adjective)
fifteen (fifteen) (Adjective)
fifteen (fifteen,fifteens,fifteen's,fifteens') (Noun)
fifth (fifth) (Adverb)
fifth (fifth) (Adjective)
fifth (fifth,fifths,fifth's,fifths') (Noun)
fifty (fifty) (Adjective)
fifty (fifty,fifties,fifty's,fifties') (Noun)
fight (fight,fights,fought,fighting) (Verb)
fight (fight,fights,fight's,fights') (Noun)
figure (figure,figures,figured,figuring) (Verb)
figure (figure,figures,figure's,figures') (Noun)
filch (filch,filches,filched,filching) (Verb)
file (file,files,filed,filing) (Verb)
file (file,files,file's,files') (Noun)
fill (fill,fills,filled,filling) (Verb)
fill (fill,fills,fill's,fills') (Noun)
final (final) (Adjective)
final (final,finals,final's,finals') (Noun)
find (find,finds,found,finding) (Verb)
find (find,finds,find's,finds') (Noun)
fine (fine,fines,fined,fining) (Verb)
fine (fine,finer,finest) (Adverb)
fine (fine,finer,finest) (Adjective)
fine (fine,fines,fine's,fines') (Noun)
finger (finger,fingers,fingered,fingering) (Verb)
finger (finger,fingers,finger's,fingers') (Noun)
finish (finish,finishes,finished,finishing) (Verb)
finish (finish,finishes,finish's,finishes') (Noun)
fir (fir,firs,fir's,firs') (Noun)
fire (fire,fires,fired,firing) (Verb)
fire (fire,fires,fire's,fires') (Noun)
fireplace (fireplace,fireplaces,fireplace's,fireplaces') (Noun)
firm (firm,firms,firmed,firming) (Verb)
firm (firm,firmer,firmest) (Adjective)
firm (firm,firms,firm's,firms') (Noun)
first (first) (Adverb)
first (first) (Adjective)
first (first,firsts,first's,firsts') (Noun)
fish (fish,fishes,fished,fishing) (Verb)
fish (fish,fishes,fish's,fishes') (Noun)
fist (fist,fists,fisted,fisting) (Verb)
fist (fist,fists,fist's,fists') (Noun)
fit (fit,fits,fitted,fitting) (Verb)
fit (fit,fitter,fittest) (Adjective)
fit (fit,fits,fit's,fits') (Noun)
five (five) (Adjective)
five (five,fives,five's,fives') (Noun)
fix (fix,fixes,fixed,fixing) (Verb)
fix (fix,fixes,fix's,fixes') (Noun)
flag (flag,flags,flagged,flagging) (Verb)
flag (flag,flags,flag's,flags') (Noun)
flame (flame,flames,flamed,flaming) (Verb)
flame (flame,flames,flame's,flames') (Noun)
flap (flap,flaps,flapped,flapping) (Verb)
flap (flap,flaps,flap's,flaps') (Noun)
flare (flare,flares,flared,flaring) (Verb)
flare (flare,flares,flare's,flares') (Noun)
flash (flash,flashes,flashed,flashing) (Verb)
flash (flash) (Adjective)
flash (flash,flashes,flash's,flashes') (Noun)
flat (flat,flats,flatted,flatting) (Verb)
flat (flat,flatter,flattest) (Adverb)
flat (flat,flatter,flattest) (Adjective)
flat (flat,flats,flat's,flats') (Noun)
flee (flee,flees,fled,fleeing) (Verb)
fleet (fleet,fleets,fleeted,fleeting) (Verb)
fleet (fleet,fleeter,fleetest) (Adjective)
fleet (fleet,fleets,fleet's,fleets') (Noun)
flesh (flesh,fleshes,fleshed,fleshing) (Verb)
flesh (flesh,fleshes,flesh's,fleshes') (Noun)
flicker (flicker,flickers,flickered,flickering) (Verb)
flicker (flicker,flickers,flicker's,flickers') (Noun)
flight (flight,flights,flight's,flights') (Noun)
fling (fling,flings,flung,flinging) (Verb)
fling (fling,flings,fling's,flings') (Noun)
float (float,floats,floated,floating) (Verb)
float (float,floats,float's,floats') (Noun)
flood (flood,floods,flooded,flooding) (Verb)
flood (flood,floods,flood's,floods') (Noun)
floor (floor,floors,floored,flooring) (Verb)
floor (floor,floors,floor's,floors') (Noun)
flora (flora,florae,floras,flora's,floras') (Noun)
flow (flow,flows,flowed,flowing) (Verb)
flow (flow,flows,flow's,flows') (Noun)
flower (flower,flowers,flowered,flowering) (Verb)
flower (flower,flowers,flower's,flowers') (Noun)
flush (flush,flushes,flushed,flushing) (Verb)
flush (flush) (Adverb)
flush (flush,flusher,flushest) (Adjective)
flush (flush,flushes,flush's,flushes') (Noun)
flutter (flutter,flutters,fluttered,fluttering) (Verb)
flutter (flutter,flutters,flutter's,flutters') (Noun)
fly (fly,flies,flew,flown,flying) (Verb)
fly (fly) (Adjective)
fly (fly,flies,fly's,flies') (Noun)
focus (focus,focuses,focussed,focused,focussing,focusing) (Verb)
focus (focus,foci,focuses,focus',foci's,focuses') (Noun)
foe (foe,foes,foe's,foes') (Noun)
fog (fog,fogs,fogged,fogging) (Verb)
fog (fog,fogs,fog's,fogs') (Noun)
fold (fold,folds,folded,folding) (Verb)
fold (fold,folds,fold's,folds') (Noun)
folk (folk) (Adjective)
folk (folk,folks,folk's,folks') (Noun)
follow (follow,follows,followed,following) (Verb)
fond (fond,fonder,fondest) (Adjective)
food (food,foods,food's,foods') (Noun)
fool (fool,fools,fooled,fooling) (Verb)
fool (fool) (Adjective)
fool (fool,fools,fool's,fools') (Noun)
foolish (foolish) (Adjective)
foot (foot,foots,footed,footing) (Verb)
foot (foot,feet,foot's,feet's) (Noun)
footstep (footstep,footsteps,footstep's,footsteps') (Noun)
for (for) (Conjunction)
for (for) (Preposition)
forbid (forbid,forbids,forbade,forbad,forbidden,forbidding) (Verb)
force (force,forces,forced,forcing) (Verb)
force (force,forces,force's,forces') (Noun)
ford (ford,fords,forded,fording) (Verb)
ford (ford,fords,ford's,fords') (Noun)
forehead (forehead,foreheads,forehead's,foreheads') (Noun)
foreign (foreign) (Adjective)
forest (forest,forests,forested,foresting) (Verb)
forest (forest,forests,forest's,forests') (Noun)
forever (forever) (Adverb)
forget (forget,forgets,forgot,forgotten,forgetting) (Verb)
forgive (forgive,forgives,forgave,forgiven,forgiving) (Verb)
fork (fork,forks,forked,forking) (Verb)
fork (fork,forks,fork's,forks') (Noun)
form (form,forms,formed,forming) (Verb)
form (form,forms,form's,forms') (Noun)
former (former) (Adjective)
former (former,formers,former's,formers') (Noun)
forth (forth) (Adverb)
fortunate (fortunate) (Adjective)
fortunate (fortunate,fortunates,fortunate's,fortunates') (Noun)
fortune (fortune,fortunes,fortune's,fortunes') (Noun)
forty (forty) (Adjective)
forty (forty,forties,forty's,forties') (Noun)
forward (forward,forwards,forwarded,forwarding) (Verb)
forward (forward) (Adverb)
forward (forward) (Adjective)
forward (forward,forwards,forward's,forwards') (Noun)
foul (foul,fouls,fouled,fouling) (Verb)
foul (foul,fouler,foulest) (Adverb)
foul (foul,fouler,foulest) (Adjective)
foul (foul,fouls,foul's,fouls') (Noun)
fountain (fountain,fountains,fountain's,fountains') (Noun)
four (four) (Adjective)
four (four,fours,four's,fours') (Noun)
fourth (fourth) (Adverb)
fourth (fourth) (Adjective)
fourth (fourth,fourths,fourth's,fourths') (Noun)
fragment (fragment,fragments,fragmented,fragmenting) (Verb)
fragment (fragment,fragments,fragment's,fragments') (Noun)
frame (frame,frames,framed,framing) (Verb)
frame (frame) (Adjective)
frame (frame,frames,frame's,frames') (Noun)
frank (frank,franks,franked,franking) (Verb)
frank (frank,franker,frankest) (Adjective)
frank (frank,franks,frank's,franks') (Noun)
frank (frank,frank's) (Noun)
frankly (frankly) (Adverb)
frantic (frantic) (Adjective)
Fred (Fred,Fred's) (Noun)
free (free,frees,freed,freeing) (Verb)
free (free) (Adverb)
free (free,freer,freest) (Adjective)
freedom (freedom,freedoms,freedom's,freedoms') (Noun)
freeze (freeze,freezes,froze,frozen,freezing) (Verb)
freeze (freeze,freezes,freeze's,freezes') (Noun)
French (French,French's) (Noun)
frequent (frequent,frequents,frequented,frequenting) (Verb)
frequent (frequent) (Adjective)
fresh (fresh,fresher,freshest) (Adjective)
friend (friend,friends,friended,friending) (Verb)
friend (friend,friends,friend's,friends') (Noun)
friendship (friendship,friendships,friendship's,friendships') (Noun)
fright (fright,frights,frighted,frighting) (Verb)
fright (fright,frights,fright's,frights') (Noun)
frighten (frighten,frightens,frightened,frightening) (Verb)
frightful (frightful) (Adjective)
fro (fro) (Adverb)
frog (frog,frogs,frog's,frogs') (Noun)
from (from) (Preposition)
front (front,fronts,fronted,fronting) (Verb)
front (front) (Adverb)
front (front) (Adjective)
front (front,fronts,front's,fronts') (Noun)
frown (frown,frowns,frowned,frowning) (Verb)
frown (frown,frowns,frown's,frowns') (Noun)
fruit (fruit,fruits,fruited,fruiting) (Verb)
fruit (fruit,fruits,fruit's,fruits') (Noun)
fry (fry,fries,fried,frying) (Verb)
fry (fry,fries,fry's,fries') (Noun)
fudge (fudge,fudges,fudged,fudging) (Verb)
